year,tavg,tmax,tmin
1960,9.37,12.98,5.77
1962,8.2,11.94,4.46
1963,7.87,11.29,4.47
1964,9.14,12.83,5.44
1965,8.67,12.37,4.97
1966,9.35,12.84,5.87
1967,9.44,12.94,5.95
1968,9.04,12.49,5.59
1969,9.13,12.9,5.36
1970,9.41,13.12,5.69
1971,9.59,13.39,5.8
1972,9.06,12.6,5.52
1973,9.41,13.27,5.54
1974,9.14,12.73,5.54
1975,9.83,13.8,5.86
1976,9.93,13.93,5.94
1977,9.22,12.8,5.63
1978,9.2,12.8,5.6
1979,8.61,12.23,4.98
1980,9.21,12.88,5.53
1981,9.04,12.77,5.31
1982,9.78,13.61,5.95
1983,9.86,13.63,6.09
1984,9.68,13.71,5.64
1985,8.68,12.28,5.08
1986,8.54,12.23,4.85
1987,9.0,12.61,5.38
1988,9.58,13.19,5.97
1989,10.54,14.64,6.44
1990,10.58,14.66,6.5
1991,9.28,12.91,5.64
1992,9.61,13.19,6.02
1993,9.27,12.9,5.64
1994,10.1,13.69,6.52
1995,10.37,14.43,6.3
1996,9.09,12.85,5.32
1997,10.44,14.29,6.59
1998,10.14,13.71,6.55
1999,10.42,14.18,6.65
2000,10.21,13.74,6.68
2001,9.85,13.57,6.13
2002,10.57,14.17,6.97
2003,10.53,14.71,6.34
2004,10.48,14.08,6.87
2005,10.32,14.07,6.56
2006,10.79,14.46,7.13
2007,10.42,14.15,6.69
2008,9.85,13.47,6.23
2009,9.86,13.51,6.21
2010,8.96,12.89,5.03
2011,10.84,14.63,7.04
2013,9.61,13.43,5.79
2014,10.97,14.8,7.14
2015,10.48,14.33,6.63
2016,10.31,14.05,6.56
2017,10.7,14.45,6.95
2018,10.78,14.8,6.76
2019,10.48,14.36,6.61
2020,10.89,14.83,6.95
2021,10.42,14.13,6.7
2022,11.3,15.36,7.23
2023,11.16,14.92,7.4
2025,11.31,15.39,7.23
