LOCATION,avg_adt
WEST SEATTLE BR EB & ALASKAN WY VI NB ON RP,72615.67
WEST SEATTLE BR EB & POINT A,35862.25
EAST MARGINAL WAY S & S ALASKA ST,34868.8
LAKE CITY WAY NE & NE 95TH ST,28782.0
WEST SEATTLE BR WB & POINT A,20754.0
UNIVERSITY BR & POINT A,19606.0
UNIVERSITY BR & FUHRMAN AVE E,18857.67
AURORA AVE N & N 141ST ST,18155.33
AURORA AVE N & N 109TH ST,17236.0
AURORA AVE N & N 130TH ST,16869.0
AURORA AVE N & N 117TH PL,16716.67
DENNY WAY & 2ND WR AVE,16124.44
N 85TH ST & INTERLAKE E AVE N,15769.9
35TH AVE SW & SW AVALON WAY,14414.67
NW MARKET ST & 8TH AVE NW,13860.78
